# Force coefficients
# liftDir     : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# dragDir     : (0.0000000e+00 0.0000000e+00 1.0000000e+00)
# pitchAxis   : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# magUInf     : 1.0000000e+02
# lRef        : 1.5200000e-01
# Aref        : 1.8000000e-02
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	3.7346364e+01	-3.2535356e+00	-1.4549279e+02	-3.5400028e+01	-1.1009276e+02
2             	3.7773317e+01	-1.8635515e+00	-1.4557017e+02	-3.5011768e+01	-1.1055840e+02
3             	3.8234204e+01	-3.9333681e-03	-1.4548081e+02	-3.4506200e+01	-1.1097461e+02
4             	3.8358404e+01	2.6737208e-01	-1.4550060e+02	-3.4391896e+01	-1.1110870e+02
5             	3.8311477e+01	-1.2233632e-01	-1.4555264e+02	-3.4464845e+01	-1.1108780e+02
6             	3.8266154e+01	-3.5221351e-01	-1.4558350e+02	-3.4525597e+01	-1.1105791e+02
7             	3.8259706e+01	-3.5292441e-01	-1.4558316e+02	-3.4531874e+01	-1.1105129e+02
8             	3.8267654e+01	-2.9438534e-01	-1.4556923e+02	-3.4516960e+01	-1.1105227e+02
9             	3.8276025e+01	-2.7625574e-01	-1.4556408e+02	-3.4506014e+01	-1.1105806e+02
10            	3.8278408e+01	-2.8018275e-01	-1.4556206e+02	-3.4502620e+01	-1.1105944e+02
11            	3.8281904e+01	-2.8989384e-01	-1.4556635e+02	-3.4501270e+01	-1.1106508e+02
12            	3.8284808e+01	-2.8950025e-01	-1.4556719e+02	-3.4498789e+01	-1.1106840e+02
13            	3.8288335e+01	-2.8729815e-01	-1.4556728e+02	-3.4495304e+01	-1.1107197e+02
14            	3.8290516e+01	-2.8355510e-01	-1.4556465e+02	-3.4491808e+01	-1.1107284e+02
15            	3.8290380e+01	-2.7929361e-01	-1.4555975e+02	-3.4489493e+01	-1.1107025e+02
16            	3.8289372e+01	-2.7456435e-01	-1.4555582e+02	-3.4488536e+01	-1.1106728e+02
17            	3.8292087e+01	-2.7079843e-01	-1.4555593e+02	-3.4485878e+01	-1.1107005e+02
18            	3.8295266e+01	-2.6721589e-01	-1.4555774e+02	-3.4483603e+01	-1.1107414e+02
19            	3.8297602e+01	-2.6354346e-01	-1.4555709e+02	-3.4480943e+01	-1.1107615e+02
20            	3.8296271e+01	-2.5936752e-01	-1.4555360e+02	-3.4480529e+01	-1.1107307e+02
21            	3.8295728e+01	-2.5660786e-01	-1.4555067e+02	-3.4479607e+01	-1.1107106e+02
22            	3.8296528e+01	-2.5373604e-01	-1.4554944e+02	-3.4478193e+01	-1.1107125e+02
23            	3.8296606e+01	-2.5127978e-01	-1.4554856e+02	-3.4477677e+01	-1.1107089e+02
24            	3.8299969e+01	-2.4963569e-01	-1.4555059e+02	-3.4475325e+01	-1.1107526e+02
25            	3.8300258e+01	-2.4862094e-01	-1.4554924e+02	-3.4474360e+01	-1.1107488e+02
26            	3.8299383e+01	-2.4727668e-01	-1.4554783e+02	-3.4474534e+01	-1.1107330e+02
27            	3.8302664e+01	-2.4641130e-01	-1.4555003e+02	-3.4472350e+01	-1.1107768e+02
28            	3.8304690e+01	-2.4506167e-01	-1.4555049e+02	-3.4470555e+01	-1.1107994e+02
