# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.0000000e+00	1.0000000e+00	1.0000000e+00	1.0000000e+00
2             	7.2782870e-01	3.4846810e-01	3.4818960e-01	2.9264540e-01
3             	5.2037920e-01	1.3747690e-01	1.3731700e-01	8.2717780e-02
4             	3.9823320e-01	5.3495340e-02	5.3543390e-02	2.9357640e-02
5             	3.7053060e-01	6.6512730e-02	6.6090760e-02	3.7796280e-02
6             	2.7616780e-01	2.0245070e-02	2.0209810e-02	1.1521430e-02
7             	1.9831850e-01	3.0475840e-02	3.0413910e-02	1.8014790e-02
8             	1.5792490e-01	2.2550720e-02	2.2678530e-02	1.3601290e-02
9             	1.3785550e-01	1.6064080e-02	1.6212380e-02	9.3589970e-03
10            	1.2464010e-01	1.5572830e-02	1.5695730e-02	8.7085560e-03
11            	1.1269260e-01	1.6605810e-02	1.6668160e-02	9.0986060e-03
12            	1.0342490e-01	1.6968000e-02	1.7031790e-02	9.3519630e-03
13            	9.8148710e-02	1.6528030e-02	1.6594580e-02	9.0119830e-03
14            	9.1623620e-02	1.6039040e-02	1.6107920e-02	8.6531070e-03
15            	8.5625640e-02	1.5653180e-02	1.5704700e-02	8.3479790e-03
16            	8.3006100e-02	1.5383770e-02	1.5409380e-02	8.1269120e-03
17            	8.2911280e-02	1.5181280e-02	1.5193980e-02	7.9803520e-03
18            	8.2496820e-02	1.4913190e-02	1.4918750e-02	7.8399500e-03
19            	8.1861380e-02	1.4603300e-02	1.4604240e-02	7.6979430e-03
20            	7.8395170e-02	1.4259830e-02	1.4256940e-02	7.5314930e-03
21            	7.4912320e-02	1.3869960e-02	1.3869810e-02	7.3313460e-03
22            	7.0707800e-02	1.3452870e-02	1.3454570e-02	7.1150920e-03
23            	6.7844470e-02	1.3020570e-02	1.3015320e-02	6.8941190e-03
24            	6.5630650e-02	1.2619450e-02	1.2601030e-02	6.6870940e-03
25            	6.3789360e-02	1.2250600e-02	1.2230120e-02	6.4999770e-03
26            	6.1873590e-02	1.1897060e-02	1.1876270e-02	6.3183350e-03
27            	6.1128990e-02	1.1551680e-02	1.1526820e-02	6.1353390e-03
28            	6.0277040e-02	1.1225790e-02	1.1204410e-02	5.9615850e-03
29            	5.8856540e-02	1.0893360e-02	1.0869950e-02	5.7941790e-03
30            	5.6901160e-02	1.0569180e-02	1.0539340e-02	5.6258430e-03
31            	5.5104650e-02	1.0258630e-02	1.0227990e-02	5.4619050e-03
32            	5.3593240e-02	9.9676300e-03	9.9359640e-03	5.3083510e-03
33            	5.1793720e-02	9.6920810e-03	9.6624910e-03	5.1659930e-03
34            	5.0656800e-02	9.4606680e-03	9.4279080e-03	5.0357210e-03
35            	4.8318230e-02	9.2521930e-03	9.2256420e-03	4.9088770e-03
36            	4.6782590e-02	9.0561820e-03	9.0317440e-03	4.7848900e-03
37            	4.5408470e-02	8.8650950e-03	8.8435180e-03	4.6704830e-03
38            	4.4572810e-02	8.6950730e-03	8.6708270e-03	4.5644930e-03
39            	4.3108560e-02	8.5398730e-03	8.5166800e-03	4.4641050e-03
40            	4.2054970e-02	8.3999170e-03	8.3769870e-03	4.3676570e-03
41            	4.0569440e-02	8.2686260e-03	8.2504690e-03	4.2797590e-03
42            	3.9746670e-02	8.1488920e-03	8.1298620e-03	4.1994320e-03
43            	3.8948370e-02	8.0372010e-03	8.0131200e-03	4.1211640e-03
44            	3.8010860e-02	7.9273780e-03	7.9043590e-03	4.0464090e-03
45            	3.7075730e-02	7.8267580e-03	7.8008810e-03	3.9763060e-03
46            	3.6106180e-02	7.7344360e-03	7.7052000e-03	3.9084450e-03
47            	3.5299730e-02	7.6404170e-03	7.6108940e-03	3.8418220e-03
48            	3.4456130e-02	7.5456230e-03	7.5131290e-03	3.7811110e-03
49            	3.3959940e-02	7.4512160e-03	7.4210220e-03	3.7237630e-03
50            	3.3164240e-02	7.3613600e-03	7.3386720e-03	3.6673920e-03
51            	3.2180470e-02	7.2808680e-03	7.2581400e-03	3.6117640e-03
52            	3.1539250e-02	7.1996490e-03	7.1739160e-03	3.5607450e-03
53            	3.1038410e-02	7.1149970e-03	7.0885150e-03	3.5117290e-03
54            	3.0411100e-02	7.0317020e-03	7.0091440e-03	3.4647740e-03
55            	2.9934800e-02	6.9491710e-03	6.9294990e-03	3.4197770e-03
56            	2.9312370e-02	6.8743160e-03	6.8533680e-03	3.3758330e-03
57            	2.8503960e-02	6.7958500e-03	6.7755930e-03	3.3329060e-03
58            	2.7659960e-02	6.7182460e-03	6.7030650e-03	3.2903650e-03
59            	2.7159680e-02	6.6407080e-03	6.6287350e-03	3.2481060e-03
60            	2.6526630e-02	6.5661970e-03	6.5543900e-03	3.2066490e-03
61            	2.6031910e-02	6.4932450e-03	6.4844400e-03	3.1673890e-03
62            	2.5561900e-02	6.4231510e-03	6.4179680e-03	3.1297480e-03
63            	2.4929210e-02	6.3581990e-03	6.3531520e-03	3.0930860e-03
64            	2.4437750e-02	6.2932450e-03	6.2892250e-03	3.0567300e-03
65            	2.3843460e-02	6.2293260e-03	6.2267880e-03	3.0210830e-03
66            	2.3384550e-02	6.1631770e-03	6.1617200e-03	2.9873320e-03
67            	2.2903990e-02	6.0998660e-03	6.1005590e-03	2.9536050e-03
68            	2.2456070e-02	6.0389630e-03	6.0397810e-03	2.9196000e-03
69            	2.2180890e-02	5.9794140e-03	5.9804290e-03	2.8866330e-03
70            	2.1992600e-02	5.9222120e-03	5.9217420e-03	2.8543200e-03
71            	2.1884170e-02	5.8721920e-03	5.8684940e-03	2.8227970e-03
72            	2.1574360e-02	5.8246260e-03	5.8176120e-03	2.7923160e-03
73            	2.1041660e-02	5.7702000e-03	5.7620770e-03	2.7626200e-03
74            	2.0490820e-02	5.7162770e-03	5.7074700e-03	2.7336410e-03
75            	1.9988470e-02	5.6576480e-03	5.6520440e-03	2.7053910e-03
76            	1.9631950e-02	5.6035570e-03	5.5995450e-03	2.6777750e-03
77            	1.9333870e-02	5.5505280e-03	5.5472470e-03	2.6503480e-03
78            	1.9131260e-02	5.5002090e-03	5.4951510e-03	2.6226170e-03
79            	1.8830880e-02	5.4525900e-03	5.4442120e-03	2.5951650e-03
80            	1.8455380e-02	5.4056050e-03	5.3956250e-03	2.5680650e-03
81            	1.8169810e-02	5.3599990e-03	5.3466420e-03	2.5412240e-03
82            	1.8039920e-02	5.3131170e-03	5.3010110e-03	2.5148120e-03
83            	1.7688870e-02	5.2684900e-03	5.2581830e-03	2.4890040e-03
84            	1.7359370e-02	5.2221380e-03	5.2112360e-03	2.4629290e-03
85            	1.7222180e-02	5.1778270e-03	5.1671580e-03	2.4375870e-03
86            	1.6936430e-02	5.1360210e-03	5.1247660e-03	2.4125710e-03
87            	1.6669970e-02	5.0930900e-03	5.0825550e-03	2.3877100e-03
88            	1.6528810e-02	5.0538180e-03	5.0415550e-03	2.3630480e-03
89            	1.6254710e-02	5.0156010e-03	5.0023880e-03	2.3389330e-03
90            	1.5961020e-02	4.9765790e-03	4.9622550e-03	2.3148400e-03
91            	1.5953380e-02	4.9369390e-03	4.9224750e-03	2.2911300e-03
92            	1.5759500e-02	4.9004690e-03	4.8865400e-03	2.2676000e-03
93            	1.5402170e-02	4.8635420e-03	4.8525890e-03	2.2444960e-03
94            	1.5280160e-02	4.8258010e-03	4.8156550e-03	2.2214460e-03
95            	1.5140810e-02	4.7926280e-03	4.7810200e-03	2.1990180e-03
